,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
493,Celestun,MX,75.4,20.8667,-90.4,overcast clouds,Posada Lilia
496,Ratnagiri,IN,84.51,16.9833,73.3,scattered clouds,Hotel Landmark
500,Sola,VU,81.18,-13.8833,167.55,broken clouds,Leumerus Bungalows
504,Tezu,IN,83.89,27.9167,96.1667,clear sky,Circuit House
510,Grand Gaube,MU,77.4,-20.0064,57.6608,broken clouds,Veranda Paul et Virginie Hotel & Spa
511,Chadiza,ZM,77.04,-14.0678,32.4392,few clouds,Sankhani Guest House
516,Sungaipenuh,ID,75.29,-2.0833,101.3833,heavy intensity rain,Penginapan Citra Alam
518,Dum Duma,IN,81.59,27.5667,95.5667,few clouds,Komol Hote
519,Tutoia,BR,78.89,-2.7619,-42.2744,scattered clouds,Pousada Guará's
525,Buraydah,SA,84.04,26.326,43.975,clear sky,Mövenpick Qassim
534,Morondava,MG,81.07,-20.2833,44.2833,clear sky,La Case Bambou
535,Sinnamary,GF,78.13,5.3833,-52.95,scattered clouds,ALETHEIA Appartement Sinnamary
547,Oranjestad,AW,82.9,12.524,-70.027,few clouds,Divi Village Golf & Beach Resort
557,Bandarbeyla,SO,84.0,9.4942,50.8122,scattered clouds,JABIR HOTEL
560,Kudahuvadhoo,MV,81.91,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
563,Yanam,IN,83.53,16.7333,82.2167,scattered clouds,The Regency Hotel
565,Voh,NC,75.79,-20.9667,164.7,broken clouds,Le gîte du Koniambo
566,Paralimni,CY,75.15,35.0375,33.9833,few clouds,Amore Hotel Apartments
571,Banjar,ID,83.41,-8.19,114.9675,overcast clouds,The Hamsa Resort
573,Weligama,LK,81.3,5.9667,80.4167,overcast clouds,Weligama Bay Resort
589,Wanning,CN,76.51,18.8003,110.3967,overcast clouds,Paradise Hotel
591,Bhag,PK,89.96,29.0415,67.8239,clear sky,Bukhari hotl
596,Itoman,JP,80.98,26.1247,127.6694,few clouds,Southern Beach Hotel & Resort Okinawa
607,Birmitrapur,IN,82.42,22.4,84.7667,clear sky,Shyam kairi
608,Sai Buri,TH,85.71,6.7013,101.6168,overcast clouds,สวนป่ารีสอร์ท
615,Tayu,ID,84.69,-6.5397,111.0518,heavy intensity rain,Toko pakaian bu is Tayu
619,Kilindoni,TZ,77.72,-7.9139,39.6668,scattered clouds,Bustani B&B
622,Xapuri,BR,75.16,-10.6517,-68.5044,scattered clouds,Pousada dos Chapurys
623,Bam,IR,79.93,29.106,58.357,clear sky,Bam Tourist Hotel
625,Moussoro,TD,82.15,13.6408,16.4901,few clouds,Pharmacie alnadja Moussoro
626,La Cruz,MX,75.34,23.9167,-106.9,clear sky,Jesús angel
631,Jammalamadugu,IN,87.73,14.8333,78.4,scattered clouds,Rishipriya water plant
632,Rapar,IN,88.43,23.5667,70.6333,broken clouds,Dharamshi Bapa’s Home
641,Quelimane,MZ,80.55,-17.8786,36.8883,scattered clouds,Hotel Flamingo
642,La Palma,US,82.18,33.8464,-118.0467,clear sky,La Quinta Inn & Suites by Wyndham Buena Park
645,Tautira,PF,77.29,-17.7333,-149.15,light rain,Pension Oaoa
646,Quatre Cocos,MU,77.11,-20.2078,57.7625,scattered clouds,Sunrise Attitude Hotel
648,Galle,LK,80.01,6.0367,80.217,overcast clouds,Amangalla
653,Diamantino,BR,76.55,-14.4086,-56.4461,broken clouds,Hotel Delta
654,Ixtapa,MX,80.22,20.7,-105.2,overcast clouds,hotel la terminal
657,Matara,LK,82.54,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
662,Ternate,ID,86.0,0.8,127.4,overcast clouds,Sahid Bela Ternate Hotel
