City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
124,East London,ZA,-33.0153,27.9116,72.99,66,53,18.88,broken clouds
125,Hervey Bay,AU,-25.2986,152.8535,74.01,84,92,8.99,overcast clouds
126,Vicuna,CL,-30.0319,-70.7081,57.94,56,0,1.7,clear sky
127,Codrington,AU,-38.2667,141.9667,63.79,74,1,12.19,clear sky
128,Bethel,US,41.3712,-73.414,46.71,77,4,1.01,clear sky
129,Cape Town,ZA,-33.9258,18.4232,67.37,75,20,8.05,few clouds
130,Provideniya,RU,64.3833,-173.3,35.8,99,100,4.9,moderate rain
131,Kavieng,PG,-2.5744,150.7967,85.19,67,70,7.2,broken clouds
132,San Jeronimo,PE,-11.9472,-75.2829,49.53,81,94,1.54,overcast clouds
133,Touros,BR,-5.1989,-35.4608,75.2,81,64,15.46,broken clouds
134,Novyy Rogachik,RU,48.6768,44.0608,47.3,57,95,6.96,overcast clouds
135,Georgetown,MY,5.4112,100.3354,91.33,60,20,4.61,few clouds
136,Pontes E Lacerda,BR,-15.2261,-59.3353,72.88,84,51,3.87,broken clouds
137,Kinablangan,PH,7.6947,126.5503,85.3,72,97,8.63,overcast clouds
138,Vidalia,US,32.2177,-82.4135,42.58,87,0,0.0,clear sky
139,Fairbanks,US,64.8378,-147.7164,35.82,92,100,0.0,fog
140,Carnarvon,AU,-24.8667,113.6333,72.25,61,1,14.7,clear sky
141,Quesnel,CA,52.9999,-122.5029,52.83,83,100,8.5,overcast clouds
142,Dingle,PH,10.9995,122.6711,84.54,76,100,5.64,overcast clouds
143,Teluk Intan,MY,4.0259,101.0213,91.38,47,68,3.78,broken clouds
144,Muros,ES,42.7762,-9.0603,60.84,86,24,30.22,moderate rain
145,Nishihara,JP,26.1842,127.7558,80.26,56,20,23.02,few clouds
146,Nikolskoye,RU,59.7035,30.7861,39.09,92,94,5.64,overcast clouds
147,Ugoofaaru,MV,5.6667,73.0,81.43,78,92,16.6,overcast clouds
148,Airai,TL,-8.9266,125.4092,72.18,73,99,1.39,overcast clouds
149,Sumbe,AO,-11.2061,13.8437,74.35,87,100,5.55,light rain
150,Port Hedland,AU,-20.3167,118.5667,87.85,40,0,16.11,clear sky
151,Shubarshi,KZ,48.5872,57.1869,56.37,37,85,16.49,overcast clouds
152,Alyangula,AU,-13.8483,136.4192,87.96,57,49,8.86,scattered clouds
153,College,US,64.8569,-147.8028,35.8,91,100,3.44,fog
154,Saint George,US,37.1041,-113.5841,67.78,24,0,4.61,clear sky
155,Port Lavaca,US,28.615,-96.6261,56.05,58,0,4.61,clear sky
156,Mandalgovi,MN,45.7625,106.2708,46.27,38,73,18.99,broken clouds
157,North Bend,US,43.4065,-124.2243,53.92,99,2,8.32,clear sky
158,Olinda,BR,-8.0089,-34.8553,78.53,69,40,11.5,scattered clouds
159,Saint-Philippe,RE,-21.3585,55.7679,76.59,75,20,13.04,light rain
160,Cabo San Lucas,MX,22.8909,-109.9124,76.6,83,46,9.84,scattered clouds
161,Mar Del Plata,AR,-38.0023,-57.5575,59.95,92,100,10.0,light rain
162,Zharkent,KZ,44.1628,80.0,55.06,38,93,3.04,overcast clouds
163,Tiksi,RU,71.6872,128.8694,12.97,86,55,16.44,broken clouds
164,Takoradi,GH,4.8845,-1.7554,75.63,90,39,4.94,light rain
165,Baykit,RU,61.67,96.37,37.17,70,92,7.16,overcast clouds
166,Cortez,US,37.3489,-108.5859,48.04,36,44,4.83,scattered clouds
167,Saryozek,KZ,44.3583,77.9753,48.81,37,88,5.32,overcast clouds
168,Kut Chap,TH,17.4257,102.5669,81.25,50,32,5.01,scattered clouds
169,Karratha,AU,-20.7377,116.8463,87.4,45,0,14.27,clear sky
170,Ribeira Grande,PT,38.5167,-28.7,62.78,76,89,1.99,overcast clouds
171,Svetlaya,RU,46.5389,138.3297,56.46,45,5,10.04,clear sky
172,Waitara,NZ,-38.925,174.25,58.5,88,61,19.98,broken clouds
173,Pind Dadan Khan,PK,32.5879,73.0456,82.4,37,43,14.43,scattered clouds
174,Upata,VE,8.0086,-62.3989,76.19,97,69,3.13,broken clouds
